Date,Close,High,Low,Open,Volume
2016-09-06,186.57261657714844,186.64927663438348,185.57599684018467,186.29151670298387,56702100
2016-09-07,186.5556182861328,186.7345047905499,185.95083814731663,186.41081159095657,76554900
2016-09-08,186.12965393066406,186.4959402793945,185.82300073079193,186.2233538805593,74102900
2016-09-09,181.6747283935547,184.86902807179513,181.64917503593986,184.81792135656548,221589100
2016-09-12,184.28126525878906,184.68161850409962,180.8484590897426,180.91660570571437,168110900
2016-09-13,181.63209533691406,183.2675748541307,181.01027544179323,183.00351488487263,182828800
2016-09-14,181.56399536132812,182.88430854433517,181.01032192860217,181.68324870057552,134185500
2016-09-15,183.37831115722656,183.76162442767654,181.2232251947218,181.40211165300408,134427900
2016-09-16,182.66949462890625,182.94345806111463,181.98461217497623,182.76366792581595,155236400
2016-09-19,182.70372009277344,183.9622116674637,182.37839183003095,183.32012466255208,80250500
2016-09-20,182.71231079101562,183.71396513879625,182.67807189218635,183.55987049912048,69665300
2016-09-21,184.7669677734375,184.94674482420382,182.72940744279296,183.4143028791124,110284400
2016-09-22,185.93130493164062,186.23095081871756,185.52894234694025,185.77721029026128,76678700
2016-09-23,184.9125518798828,185.67449481300912,184.81837857069652,185.53751307904778,73630900
2016-09-26,183.41432189941406,184.2618684960777,183.21740578661957,184.08209142666828,89827300
2016-09-27,184.55296325683594,184.6471234918225,182.8835263269881,183.2516630614715,78494800
2016-09-28,185.468994140625,185.623101833831,183.81669631342595,184.77554217943597,87411000
2016-09-29,183.791015625,185.66591215313227,183.24310179121994,185.26353650265202,128070600
2016-09-30,185.17791748046875,185.87992589879707,184.37316624574723,184.62143417016583,117202900
2016-10-03,184.7327423095703,184.9553278063955,184.09921165404296,184.76699427111006,83512100
2016-10-04,183.791015625,185.06663343857537,183.20030643277005,184.84404793411028,119948100
2016-10-05,184.60427856445312,185.03233652110154,184.34744117780565,184.41593201846445,72816000
2016-10-06,184.7327423095703,184.9553278063955,183.84238725897382,184.38173155191478,62927400
2016-10-07,184.09913635253906,185.1778506237894,183.3714457586619,185.00663007601187,89788300
2016-10-10,185.05807495117188,185.52037193639262,184.9125367694673,185.05807495117188,51855000
2016-10-11,182.7208709716797,184.69851033087284,181.99318005289527,184.6300194685232,130367400
2016-10-12,182.9605712890625,183.48280261492656,182.3612795887013,182.85782847749783,73866100
2016-10-13,182.3612823486328,182.85783124494432,180.82028384808063,181.63359151521533,101357000
2016-10-14,182.45541381835938,183.79952203251673,182.37836652365132,183.337212137685,93346200
2016-10-17,181.8219451904297,182.686617766202,181.642155057929,182.42978031832754,58275700
2016-10-18,182.9605712890625,183.47423309370768,182.58387812767933,183.4143117616483,76869700
2016-10-19,183.44851684570312,183.75671909700407,182.86636429507476,183.22593141104383,66519200
2016-10-20,183.10614013671875,183.66261045082263,182.44692699383353,183.09757061406387,73639800
